"","Kingdom","Phylum","Class","Order","Family","Genus","Species","AG_crust","AG_subsoil","PG_crust","PG_subsoil","S_crust","S_subsoil","T_crust","T_subsoil","prob_type","prob_zone","prob_month","carbon_rho","prob_carbon","OTU_min","OTU_max","OTU_mid","prob_type_FDR","prob_zone_FDR","prob_month_FDR","prob_carbon_FDR","classification","c_cor","type_sig","zone_sig","month_sig","OTU"
"654","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA,3.37029674713661,6.14086544595478,1.95836853187377,6.12131428142543,0.100603621730382,0.354568988089063,0,0,0.0810371803865974,3.13357705714965e-07,0.477205996944224,-0.648402248889408,6.25396996766685e-07,0,11.2008072653885,5.60040363269425,0.104190660497054,1.41010967571734e-06,0.553400571632483,2.81428648545008e-06,"oligotroph","---","","***","","654"
"761","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae","Candidatus Solibacter","",3.34997460977337,4.00098239822308,4.21656361380051,5.57987557739203,0.875604654457505,2.08611177743416,0.703267866121861,1.59460768255388,0.0335884576264796,0.000330702054642728,0.014914823820914,-0.553817829032023,4.43892492631676e-05,0,12.5984251968504,6.2992125984252,0.0503826864397195,0.000744079622946137,0.134233414388226,9.9875810842127e-05,"oligotroph","---",".","***","","761"
"1064","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","",2.90357310258452,0.402046301950098,1.21938469216044,0.665233841031985,1.68165941186419,0.293294705014848,2.85434072883239,0.732698548028147,2.83777647159949e-05,0.432829259218873,0.491911619228874,0.267747127231715,0.0657887072421792,0,5.8261700095511,2.91308500477555,0.000139877697420195,0.432829259218873,0.553400571632483,0.0740122956474516,"N D","","***","","","1064"
"1150","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Balneimonas","",3.27881511066896,1.40204911173928,1.17025254197997,0.177613364758466,10.8579522957663,4.67828016847484,11.9527770328833,7.8250185956558,0.0190752102012217,5.93364262083024e-06,0.771499341486151,0.60162710212534,6.10529586768588e-06,0,22.6201696512724,11.3100848256362,0.0343353783621991,1.78009278624907e-05,0.771499341486151,1.83158876030576e-05,"copiotroph","+++","*","***","","1150"
"1912","Bacteria","Cyanobacteria","Oscillatoriophycideae","Oscillatoriales","Phormidiaceae","Phormidium","",15.7330872954646,0.0340136054421769,36.3470768482578,0.159522818698849,0.0777626537608389,0,0.0327439423706614,0.0175808720112518,0.000428962881028132,0.0146566325053315,0.359363352425288,-0.189460991100595,0.197140341894803,0,86.1936720997124,43.0968360498562,0.000965166482313297,0.0188442417925691,0.553400571632483,0.197140341894803,"Cyanobacteria","","***","*","","1912"
"2850","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","","",1.7591313594883,5.87960781222996,1.80639542317455,5.48498969162903,1.76855593702374,4.42332560804755,0.391863095002575,0.654515480328097,0.000323114868776116,0.000951705701240954,0.185943007515418,-0.45533793101546,0.00114634493208933,0,8.49974398361495,4.24987199180748,0.000965166482313297,0.00171307026223372,0.545201098146164,0.00206342087776079,"oligotroph","--","***","**","","2850"
"3067","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","","",3.34907005544319,2.50766238990626,2.54846457961248,1.67568071173503,1.3328802371234,0.968922019630967,1.14378783220024,1.20108228549291,0.432868730179971,0.0103584741025648,0.204328789780843,-0.440279448168706,0.00173859592301001,0,6.19469026548673,3.09734513274336,0.432868730179971,0.0155377111538471,0.545201098146164,0.00260789388451501,"oligotroph","--","","*","","3067"
"3302","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Kineosporiaceae","","",3.60124851899304,3.95255557585197,3.08867995597274,4.3462861084811,1.48024186289463,2.04973567321886,0.210800823430418,0.198595101713693,0.396805869458116,1.36251460693598e-07,0.456873155148988,-0.653086243947503,4.87169920698159e-07,0,6.14250614250614,3.07125307125307,0.432868730179971,1.22626314624238e-06,0.553400571632483,2.81428648545008e-06,"oligotroph","---","","***","","3302"
"3323","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","","",0.894653465932983,3.18932626407244,0.724738898475124,3.79191420734541,1.24085041993688,1.83414826186586,0,1.51857329564674,3.10839327600433e-05,0.0895499080294245,0.242311599176073,-0.412913870677702,0.00353731358169157,0,7.78032036613272,3.89016018306636,0.000139877697420195,0.100743646533103,0.545201098146164,0.00454797460503202,"oligotroph","--","***","","","3323"
