"","Kingdom","Phylum","Class","Order","Family","Genus","Species","AG_crust","AG_subsoil","PG_crust","PG_subsoil","S_crust","S_subsoil","T_crust","T_subsoil","prob_type","prob_zone","prob_month","carbon_rho","prob_carbon","OTU_min","OTU_max","OTU_mid","prob_type_FDR","prob_zone_FDR","prob_month_FDR","prob_carbon_FDR","classification","c_cor","type_sig","zone_sig","month_sig","OTU"
"153","Bacteria","Gemmatimonadetes","Gemmatimonadetes","","","","",0,0,0,0.313544249471023,0,0,0,0,0.152952733844139,0.105561825808781,0.152952733844139,-0.278703187818865,0.0550840693171206,0,1.1441647597254,0.5720823798627,0.344143651149313,0.158342738713171,0.344143651149313,0.143728048853682,"N D","","","","","153"
"470","Bacteria","Gemmatimonadetes","Gemm-3","","","","",0,0,0,0,0,0,0.23998724738255,0,0.152952733844139,0.105561825808781,0.152952733844139,0.300805071667268,0.0377564165063049,0,1.2514220705347,0.625711035267349,0.344143651149313,0.158342738713171,0.344143651149313,0.143728048853682,"N D","","","","","470"
"1074","Bacteria","Gemmatimonadetes","Gemmatimonadetes",NA,NA,NA,NA,0,0,0,0,0,0.219918316054037,0.0346693916093639,0.0596302921884317,0.931446041254318,0.10518401125127,0.931446041254318,0.377483702546622,0.00816926702758538,0,1.31950989632422,0.659754948162111,0.931446041254318,0.158342738713171,0.931446041254318,0.0735234032482684,"N D","","","","","1074"
"1264","Bacteria","Gemmatimonadetes","Gemm-3","","","","",0,0,0,0,0.055314402845602,0.254171026657799,0,0,0.586150426198472,0.000969381157120858,0.697369676562026,0.188962164212629,0.198344200594843,0,0.979591836734694,0.489795918367347,0.659419229473281,0.00436221520704386,0.784540886132279,0.25501397219337,"N D","","","**","","1264"
"1513","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Ellin5301","","",0,0,0,0,0.0572737686139748,0.123456790123457,0,0.0894454382826476,0.522942209406212,0.2810022307446,0.0768887433139472,0.255337594763541,0.0798489160298235,0,0.740740740740741,0.37037037037037,0.659419229473281,0.316127509587675,0.344143651149313,0.143728048853682,"N D","","","","","1513"
"1757","Bacteria","Gemmatimonadetes","Gemm-1","","","","",0,0.0292911540714704,0,0,0.286897446948987,0.26769688240423,0,0,0.466535591432288,3.82730078782599e-07,0.228508139891199,0.267445964421182,0.0661048271621436,0,0.864864864864865,0.432432432432432,0.659419229473281,3.44457070904339e-06,0.411314651804158,0.143728048853682,"N D","","","***","","1757"
"2802","Bacteria","Gemmatimonadetes","Gemmatimonadetes","","","","",0,0,0,0.00853387950162144,0.0670690811535882,0.291360114711627,0,0.0116387337057728,0.025133929602001,0.00253227050152083,0.535658563343523,0.0203175598510292,0.890977248877293,0,0.65359477124183,0.326797385620915,0.175317419814591,0.00759681150456249,0.688703867155958,0.926365830902657,"N D","","","**","","2802"
"3247","Bacteria","Gemmatimonadetes","Gemmatimonadetes","","","","",0,0,0.0919215216992695,0,0.111777084219984,0,0,0,0.0389594266254646,0.234103743410599,0.0389594266254646,-0.0136999184187586,0.926365830902657,0,0.539083557951482,0.269541778975741,0.175317419814591,0.300990527242198,0.344143651149313,0.926365830902657,"N D","","","","","3247"
"3437","Bacteria","Gemmatimonadetes","Gemmatimonadetes","","","","",0,0,0,0,0,0,0.22075055187638,0,0.317310507862969,0.391625176271122,0.317310507862969,0.194789908449995,0.184601377465779,0,1.32450331125828,0.662251655629139,0.571158914153344,0.391625176271122,0.475965761794453,0.25501397219337,"N D","","","","","3437"
