"","Kingdom","Phylum","Class","Order","Family","Genus","Species","AG_crust","AG_subsoil","PG_crust","PG_subsoil","S_crust","S_subsoil","T_crust","T_subsoil","prob_type","prob_zone","prob_month","carbon_rho","prob_carbon","OTU_min","OTU_max","OTU_mid","prob_type_FDR","prob_zone_FDR","prob_month_FDR","prob_carbon_FDR","classification","c_cor","type_sig","zone_sig","month_sig","OTU"
"230","Bacteria","TM7","SC3","","","","",0,0,0,0,0,0,0,0.0351617440225035,0.317310507862969,0.391625176271122,0.317310507862969,0.163202355728374,0.267712733031973,0,0.210970464135021,0.105485232067511,0.35697432134584,0.503518083777157,0.317310507862969,0.481882919457551,"N D","","","","","230"
"239","Bacteria","TM7","SC3","","","","",0,0.0476871721506915,0,0,0,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,-0.036852144841891,0.803613405032441,0,0.286123032904149,0.143061516452074,0.35697432134584,0.503518083777157,0.317310507862969,0.803613405032441,"N D","","","","","239"
"994","Bacteria","TM7","SC3","","","","",0,0,0.045004500450045,0.0069357747260369,0,0,0,0,0.976246842596409,0.105561825808781,0.152952733844139,-0.233558914426383,0.110115466916188,0,0.27002700270027,0.135013501350135,0.976246842596409,0.503518083777157,0.317310507862969,0.472379629698699,"N D","","","","","994"
"1470","Bacteria","TM7","SC3","","","","",0,0.053850296176629,0,0,0,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,-0.194789908449995,0.184601377465778,0,0.323101777059774,0.161550888529887,0.35697432134584,0.503518083777157,0.317310507862969,0.472379629698699,"N D","","","","","1470"
"2041","Bacteria","TM7","SC3","","","","",0,0,0,0,0.0701754385964912,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,0.0894980660445924,0.54522410841175,0,0.421052631578947,0.210526315789474,0.35697432134584,0.503518083777157,0.317310507862969,0.701002425100821,"N D","","","","","2041"
"2074","Bacteria","TM7","SC3","","","","",0,0,0,0,0.0350877192982456,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,0.0894980660445924,0.54522410841175,0,0.210526315789474,0.105263157894737,0.35697432134584,0.503518083777157,0.317310507862969,0.701002425100821,"N D","","","","","2074"
"2190","Bacteria","TM7","TM7-1","","","","",0,0,0,0.00853387950162144,0,0.0272331154684096,0,0,0.152952733844139,0.563257784169113,0.152952733844139,-0.0575275983855588,0.697735726861328,0,0.163398692810458,0.0816993464052288,0.35697432134584,0.563257784169113,0.317310507862969,0.784952692718994,"N D","","","","","2190"
"2496","Bacteria","TM7","SC3","","","","",0,0,0,0.0614250614250614,0,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,-0.184260724209455,0.209946502088311,0,0.368550368550369,0.184275184275184,0.35697432134584,0.503518083777157,0.317310507862969,0.472379629698699,"N D","","","","","2496"
"2791","Bacteria","TM7","","","","","",0,0,0,0,0,0.0314169022934339,0,0.0149075730471079,0.152952733844139,0.563257784169113,0.152952733844139,0.224937612216013,0.124267059270805,0,0.188501413760603,0.0942507068803016,0.35697432134584,0.563257784169113,0.317310507862969,0.472379629698699,"N D","","","","","2791"
