"","Kingdom","Phylum","Class","Order","Family","Genus","Species","AG_crust","AG_subsoil","PG_crust","PG_subsoil","S_crust","S_subsoil","T_crust","T_subsoil","prob_type","prob_zone","prob_month","carbon_rho","prob_carbon","OTU_min","OTU_max","OTU_mid","prob_type_FDR","prob_zone_FDR","prob_month_FDR","prob_carbon_FDR","classification","c_cor","type_sig","zone_sig","month_sig","OTU"
"1040","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutus","",0,0,0,0,0.0335345405767941,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,0.110556434525673,0.454421146475094,0,0.201207243460765,0.100603621730382,0.407970652966674,0.391625176271122,0.407970652966674,0.454421146475094,"N D","","","","","1040"
"1341","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae",NA,NA,0,0,0,0,0,0,0.0326162856752592,0,0.152952733844139,0.105561825808781,0.976246842596409,0.338895552342175,0.0184608367150339,0,0.0982318271119843,0.0491159135559921,0.407970652966674,0.316685477426342,0.976246842596409,0.0830737652176526,"N D","","","","","1341"
"1576","Bacteria","Verrucomicrobia","[Pedosphaerae]","[Pedosphaerales]","Ellin517","","",0,0,0,0,0,0,0,0.0334672021419009,0.317310507862969,0.391625176271122,0.317310507862969,0.142143987247294,0.335171967965249,0,0.200803212851406,0.100401606425703,0.407970652966674,0.391625176271122,0.407970652966674,0.454421146475094,"N D","","","","","1576"
"1984","Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","","",0,0.0269251480883145,0,0,0,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,-0.194789908449995,0.184601377465778,0,0.161550888529887,0.0807754442649435,0.407970652966674,0.391625176271122,0.407970652966674,0.332282479438401,"N D","","","","","1984"
"2275","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutus","",0,0,0,0,0.0289986133719178,0.090156667888567,0.0577443891025859,0.0745378652355397,0.762049290518813,0.0130980395500631,0.0564452534169294,0.500219194563529,0.000294182038655231,0,0.447227191413238,0.223613595706619,0.857305451833665,0.117882355950568,0.407970652966674,0.00264763834789708,"copiotroph","++","","","","2275"
"2443","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","","",0,0,0,0,0,0.0471253534401508,0,0,0.317310507862969,0.391625176271122,0.317310507862969,0.131614803006754,0.372550748204468,0,0.282752120640905,0.141376060320452,0.407970652966674,0.391625176271122,0.407970652966674,0.454421146475094,"N D","","","","","2443"
"2565","Bacteria","Verrucomicrobia","[Spartobacteria]","[Chthoniobacterales]","[Chthoniobacteraceae]","DA101","",0,0,0,0,0,0,0,0.282485875706215,0.317310507862969,0.391625176271122,0.317310507862969,-0.247435829652697,0.0899661035481424,0,1.69491525423729,0.847457627118644,0.407970652966674,0.391625176271122,0.407970652966674,0.20242373298332,"N D","","","","","2565"
"2759","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","","",0,0,0,0,0,0,0.0314169022934339,0.0167336010709505,0.976246842596409,0.105561825808781,0.976246842596409,0.256914805869022,0.0779409588135735,0,0.188501413760603,0.0942507068803016,0.976246842596409,0.316685477426342,0.976246842596409,0.20242373298332,"N D","","","","","2759"
"3251","Bacteria","Verrucomicrobia","[Pedosphaerae]","[Pedosphaerales]",NA,NA,NA,0,0,0,0,0.0335345405767941,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,0.110556434525673,0.454421146475094,0,0.201207243460765,0.100603621730382,0.407970652966674,0.391625176271122,0.407970652966674,0.454421146475094,"N D","","","","","3251"
