"","Kingdom","Phylum","Class","Order","Family","Genus","Species","AG_crust","AG_subsoil","PG_crust","PG_subsoil","S_crust","S_subsoil","T_crust","T_subsoil","prob_type","prob_zone","prob_month","carbon_rho","prob_carbon","OTU_min","OTU_max","OTU_mid","prob_type_FDR","prob_zone_FDR","prob_month_FDR","prob_carbon_FDR","classification","c_cor","type_sig","zone_sig","month_sig","OTU"
"1881","Bacteria","WPS-2","","","","","",0.0159184972938555,0,0.0809061488673139,0.03813882532418,0,0,0,0,0.555407274001353,0.267393816100943,0.555407274001353,-0.24654177083045,0.0911709560384135,0,0.485436893203884,0.242718446601942,0.925678790002255,0.445656360168239,0.88973609058347,0.151951593397356,"N D","","","","","1881"
"1942","Bacteria","WPS-2","","","","","",0.310932032763147,0.436469275302874,0.411079434018073,0.466231306648453,0,0,0,0,0.979980298460517,0.000131926771511216,0.959973198481818,-0.474926865969396,0.000647694951522758,0,1.5748031496063,0.78740157480315,0.979980298460517,0.000659633857556079,0.959973198481818,0.00323847475761379,"oligotroph","--","","***","","1942"
"3003","Bacteria","WPS-2","","","","","",0.0141242937853107,0.221664314217125,0,0.569698703279939,0,0,0,0,0.0343475700269696,0.0175101920168568,0.711788872466776,-0.338258054846904,0.0186964168874293,0,2.05949656750572,1.02974828375286,0.171737850134848,0.0437754800421419,0.88973609058347,0.0467410422185733,"oligotroph","-","","*","","3003"
"3116","Bacteria","WPS-2","","","","","",0.014172335600907,0,0,0,0,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,-0.0789688818040522,0.59367012219368,0,0.0850340136054422,0.0425170068027211,0.793276269657422,0.489531470338903,0.793276269657422,0.626991211539834,"N D","","","","","3116"
"3462","Bacteria","WPS-2","","","","","",0,0.0287026406429392,0,0,0.043859649122807,0,0,0,0.976246842596409,0.563257784169113,0.152952733844139,-0.0719486857192684,0.626991211539834,0,0.263157894736842,0.131578947368421,0.979980298460517,0.563257784169113,0.764763669220695,0.626991211539834,"N D","","","","","3462"
