"","Kingdom","Phylum","Class","Order","Family","Genus","Species","AG_crust","AG_subsoil","PG_crust","PG_subsoil","S_crust","S_subsoil","T_crust","T_subsoil","prob_type","prob_zone","prob_month","carbon_rho","prob_carbon","OTU_min","OTU_max","OTU_mid","prob_type_FDR","prob_zone_FDR","prob_month_FDR","prob_carbon_FDR","classification","c_cor","type_sig","zone_sig","month_sig","OTU"
"5","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","","","",0,0,0,0,0.0350877192982456,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,0.0894980660445924,0.54522410841175,0,0.210526315789474,0.105263157894737,0.407970652966674,0.503518083777157,0.475965761794453,0.77822237072717,"N D","","","","","5"
"270","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","","","",0,0,0,0,0.0350877192982456,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,0.0894980660445924,0.54522410841175,0,0.210526315789474,0.105263157894737,0.407970652966674,0.503518083777157,0.475965761794453,0.77822237072717,"N D","","","","","270"
"862","Bacteria","Elusimicrobia","Elusimicrobia","IIb","","","",0,0,0,0,0,0.0323953707751421,0,0,0.152952733844139,0.105561825808781,0.152952733844139,0.0373067259285095,0.801239711039748,0,0.112739571589628,0.056369785794814,0.344143651149313,0.475028216139513,0.458858201532417,0.801239711039748,"N D","","","","","862"
"941","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","","","",0,0,0.05249343832021,0,0,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,-0.100027250285133,0.498760598340364,0,0.31496062992126,0.15748031496063,0.407970652966674,0.503518083777157,0.475965761794453,0.77822237072717,"N D","","","","","941"
"1263","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","","","",0,0.0238435860753457,0,0,0,0.0293138933235877,0,0,0.0768887433139472,0.294069419468564,0.522942209406212,0.0757993062469275,0.608617565076,0,0.143061516452074,0.0715307582260372,0.344143651149313,0.503518083777157,0.588309985581988,0.77822237072717,"N D","","","","","1263"
"2020","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","","","",0,0,0,0.1906941266209,0,0.0273228633016993,0,0,0.0768887433139472,0.294069419468564,0.522942209406212,-0.0587250597885752,0.691753218424151,0,1.1441647597254,0.5720823798627,0.344143651149313,0.503518083777157,0.588309985581988,0.77822237072717,"N D","","","","","2020"
"2407","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","","","",0,0,0,0,0,0.0375798571965427,0,0.0116387337057728,0.152952733844139,0.563257784169113,0.152952733844139,-0.154242934090981,0.295220522728448,0,0.225479143179256,0.112739571589628,0.344143651149313,0.563257784169113,0.458858201532417,0.77822237072717,"N D","","","","","2407"
"2587","Bacteria","Elusimicrobia","Elusimicrobia","FAC88","","","",0,0,0,0,0.0657894736842105,0.0136054421768707,0,0,0.976246842596409,0.105561825808781,0.152952733844139,0.0680299119872821,0.645922565221435,0,0.394736842105263,0.197368421052632,0.976246842596409,0.475028216139513,0.458858201532417,0.77822237072717,"N D","","","","","2587"
"2760","Bacteria","Elusimicrobia","Elusimicrobia","IIb","","","",0,0,0,0,0,0.0375798571965427,0.0194250194250194,0,0.976246842596409,0.563257784169113,0.976246842596409,0.17728532363506,0.228022383009155,0,0.225479143179256,0.112739571589628,0.976246842596409,0.563257784169113,0.976246842596409,0.77822237072717,"N D","","","","","2760"
