"","Kingdom","Phylum","Class","Order","Family","Genus","Species","AG_crust","AG_subsoil","PG_crust","PG_subsoil","S_crust","S_subsoil","T_crust","T_subsoil","prob_type","prob_zone","prob_month","carbon_rho","prob_carbon","OTU_min","OTU_max","OTU_mid","prob_type_FDR","prob_zone_FDR","prob_month_FDR","prob_carbon_FDR","classification","c_cor","type_sig","zone_sig","month_sig","OTU"
"95","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","",0,0,0,0,0,0.0452511334864276,0,0,0.152952733844139,0.105561825808781,0.976246842596409,0.0824509993209917,0.577438838304563,0,0.163398692810458,0.0816993464052288,0.35697432134584,0.316685477426342,0.976246842596409,0.827912868494678,"N D","","","","","95"
"327","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","",0,0,0,0,0,0,0,0.0175808720112518,0.317310507862969,0.391625176271122,0.317310507862969,0.163202355728374,0.267712733031973,0,0.105485232067511,0.0527426160337553,0.35697432134584,0.440578323305013,0.407970652966674,0.629155269590021,"N D","","","","","327"
"1546","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","",0,0,0,0,0.011454753722795,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,0.173731539968915,0.237632232972243,0,0.0687285223367698,0.0343642611683849,0.35697432134584,0.440578323305013,0.407970652966674,0.629155269590021,"N D","","","","","1546"
"1845","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","","","",0,0,0,0,0,0.0187899285982713,0,0,0.317310507862969,0.391625176271122,0.317310507862969,0.0157937763608104,0.915150177307113,0,0.112739571589628,0.056369785794814,0.35697432134584,0.440578323305013,0.407970652966674,0.915150177307113,"N D","","","","","1845"
"2223","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","","",0.056207164677704,0.101977967026538,0,0.191991670369486,0.087719298245614,0.0828309906829702,0,0,0.0175329702859052,0.0760285912553483,0.0722480700660312,-0.307559745607425,0.0334606867107003,0,0.749063670411985,0.374531835205993,0.157796732573147,0.316685477426342,0.407970652966674,0.301146180396303,"N D","","","","","2223"
"2419","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","","",0,0.0340136054421769,0,0.0452898550724638,0,0.102392829861495,0,0,0.0389594266254646,0.545417385000779,0.291968085443672,-0.138018186384023,0.34953070532779,0,0.450958286358512,0.225479143179256,0.175317419814591,0.545417385000779,0.407970652966674,0.629155269590021,"N D","","","","","2419"
"2499","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","","",0,0,0,0,0,0.054421768707483,0,0,0.317310507862969,0.391625176271122,0.317310507862969,0.036852144841891,0.80361340503244,0,0.326530612244898,0.163265306122449,0.35697432134584,0.440578323305013,0.407970652966674,0.904065080661495,"N D","","","","","2499"
"2603","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","","",0,0,0,0,0.0175438596491228,0.0728877025173321,0,0,0.522942209406212,0.0245486145898738,0.522942209406212,0.139439679409877,0.344541538705734,0,0.329218106995885,0.164609053497942,0.522942209406212,0.220937531308864,0.588309985581988,0.629155269590021,"N D","","","","","2603"
"2780","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","",0,0,0,0,0,0.018018018018018,0,0,0.317310507862969,0.391625176271122,0.317310507862969,0.0684396975635119,0.643932231051416,0,0.108108108108108,0.0540540540540541,0.35697432134584,0.440578323305013,0.407970652966674,0.827912868494678,"N D","","","","","2780"
