"","Kingdom","Phylum","Class","Order","Family","Genus","Species","AG_crust","AG_subsoil","PG_crust","PG_subsoil","S_crust","S_subsoil","T_crust","T_subsoil","prob_type","prob_zone","prob_month","carbon_rho","prob_carbon","OTU_min","OTU_max","OTU_mid","prob_type_FDR","prob_zone_FDR","prob_month_FDR","prob_carbon_FDR","classification","c_cor","type_sig","zone_sig","month_sig","OTU"
"378","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","flexus",0,0.712562570970273,0,0.110940433521079,0.0448393320069934,0.538213755770671,0.345630056449344,0,0.133035220973716,0.201585279384561,0.969273909936659,0.197243810479663,0.17902345050883,0,2.44897959183673,1.22448979591837,0.27531492091945,0.36285350289221,0.976246842596409,0.70100242510082,"N D","","","","","378"
"546","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","foraminis",0,1.43720177376651,0.225824090270527,1.83445037325231,0.0219298245614035,0.131529500187899,0.190404382131015,1.38684414291241,0.0182495382817265,0.0269694075972288,0.117348438949302,-0.127605645873026,0.387414928623957,0,7.90861159929701,3.95430579964851,0.164245844535539,0.237514108069757,0.458858201532417,0.70100242510082,"N D","","","","","546"
"750","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA,NA,0.204165776309373,0,0,0,0,0,0,0,0.152952733844139,0.105561825808781,0.976246842596409,-0.0686569157843999,0.642878198501163,0,1.19047619047619,0.595238095238095,0.27531492091945,0.237514108069757,0.976246842596409,0.723237973313808,"N D","","","","","750"
"1358","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,0,0.143513203214696,0,0,0,0,0.0157084511467169,0.0931098696461825,0.522942209406212,0.294069419468564,0.0768887433139472,-0.117967520984979,0.424549563267965,0,0.861079219288175,0.430539609644087,0.588309985581988,0.393763575837225,0.458858201532417,0.70100242510082,"N D","","","","","1358"
"1383","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","",0.241205482874811,0.064896758628713,0,0.0452898550724638,0,0.018018018018018,0.0981041704165821,0.0596302921884317,0.716344218690118,0.306260558984509,0.249894749320131,0.116367116644798,0.430904532650686,0,1.41271442986882,0.70635721493441,0.716344218690118,0.393763575837225,0.562263185970294,0.70100242510082,"N D","","","","","1383"
"1608","Bacteria","Firmicutes","Bacilli",NA,NA,NA,NA,0.359869300656965,2.06260504964699,0.287460963918456,0.104036620890553,0.043859649122807,0.231336979236139,0.454594555561832,3.23283164517627,0.39416489129434,0.0639125460927722,0.420225664620514,0.101175212808589,0.493820948108908,0,7.38137082601054,3.69068541300527,0.506783431664151,0.237514108069757,0.630338496930772,0.70100242510082,"N D","","","","","1608"
"1921","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,0,0.117164616285882,0,0.03813882532418,0,0,0,0.0349162011173184,0.0768887433139472,0.789642919272058,0.522942209406212,-0.309923443289485,0.0320564416229788,0,0.70298769771529,0.351493848857645,0.27531492091945,0.789642919272058,0.672354269236558,0.288507974606809,"N D","","","","","1921"
"2685","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina","ginsengi",0,0.439367311072056,0,0,0,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,-0.0894980660445924,0.545224108411749,0,2.63620386643234,1.31810193321617,0.475965761794453,0.440578323305013,0.571158914153344,0.70100242510082,"N D","","","","","2685"
"2752","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","",0.195694648002447,0,0,0,0,0,0,0,0.152952733844139,0.105561825808781,0.152952733844139,-0.0462415300374383,0.754969973712002,0,0.955109837631328,0.477554918815664,0.27531492091945,0.237514108069757,0.458858201532417,0.754969973712002,"N D","","","","","2752"
