"","Kingdom","Phylum","Class","Order","Family","Genus","Species","AG_crust","AG_subsoil","PG_crust","PG_subsoil","S_crust","S_subsoil","T_crust","T_subsoil","prob_type","prob_zone","prob_month","carbon_rho","prob_carbon","OTU_min","OTU_max","OTU_mid","prob_type_FDR","prob_zone_FDR","prob_month_FDR","prob_carbon_FDR","classification","c_cor","type_sig","zone_sig","month_sig","OTU"
"Acidobacteria","Bacteria","Acidobacteria",NA,NA,NA,NA,NA,11.5155905502978,17.045033331797,10.4370988374979,18.3031791254501,10.6607882035647,15.5769751545858,5.16972192523675,7.59484882516833,0.00212396043156942,0.00304132786585323,0.421300854098113,-0.384932696482848,0.00724459783057043,1.00671140939597,26.6141732283465,14.3137980235692,0.0113277889683703,0.00608265573170645,0.713259999276027,0.0144891956611409,"oligotroph","-","*","**","","Acidobacteria"
"AD3","Bacteria","AD3",NA,NA,NA,NA,NA,0.067272115708039,0.197341986526688,0,0.340406541227984,0,0,0,0,0.0130323296125044,0.0119559100748441,0.785228576798168,-0.488901296917254,0.000421956910360366,0,1.1441647597254,0.5720823798627,0.0260646592250089,0.0191294561197506,0.837577148584713,0.000964472937966551,"oligotroph","---","*","*","","AD3"
"Proteobacteria","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,38.6042350677732,37.0118971735578,22.4183586506712,34.0967916976711,52.5153713377829,47.0540448475819,55.925309890737,48.5573621873779,0.353467557458388,9.53654611356253e-07,0.18694930948365,0.574793747286149,2.73342461278571e-05,4.07478427612656,66.9811320754717,37.5653503138624,0.515628848079938,7.62923689085002e-06,0.499174890421616,0.000145782646015238,"copiotroph","+++","","***","","Proteobacteria"
"Bacteroidetes","Bacteria","Bacteroidetes",NA,NA,NA,NA,NA,4.08481844640389,1.0043577709547,4.22004546641387,1.43334432024432,8.2093726306517,4.48125215483139,9.42804690159144,7.87870471929597,0.00443400830310065,0.000100588837093129,0.127046158376806,0.556448111159357,5.39431819714324e-05,0.102354145342886,16.9491525423729,8.57693041652933,0.0118240221416017,0.000321884278698013,0.499174890421616,0.00021577272788573,"copiotroph","+++","*","***","","Bacteroidetes"
"Firmicutes","Bacteria","Firmicutes",NA,NA,NA,NA,NA,1.23197156684287,5.48204160746,0.584675698653097,2.39934591716338,0.234360436635818,1.08436727377684,1.62601113679644,5.35712512421188,0.00107889316154289,0.0593437650053673,0.380718527591623,-0.0452793327937828,0.759915290118756,0,19.6836555360281,9.84182776801406,0.00863114529234315,0.073484609502609,0.713259999276027,0.810576309460006,"N D","","**",".","","Firmicutes"
"Armatimonadetes","Bacteria","Armatimonadetes",NA,NA,NA,NA,NA,0.12077484200935,0.0579937947144096,0.045004500450045,0.118107554026828,0.0792607629988587,0.148716937817121,0.148299310785933,0,0.386721636059954,0.983440887001323,0.0834239521680154,0.11523376853487,0.43543697034121,0,0.56550424128181,0.282752120640905,0.515628848079938,0.983440887001323,0.499174890421616,0.501518330046967,"N D","","","","","Armatimonadetes"
"Gemmatimonadetes","Bacteria","Gemmatimonadetes",NA,NA,NA,NA,NA,0.903765980789591,0.726303486325678,0.578317450490451,1.0551893864696,2.00089227712568,2.8584675984909,1.83963588077662,1.14981364024916,0.64268014994774,1.98729476145766e-05,0.556749757986512,0.532960621142347,9.62452465568758e-05,0,4.2483660130719,2.12418300653595,0.64268014994774,0.000105989053944408,0.742333010648683,0.000307984788982003,"copiotroph","+++","","***","","Gemmatimonadetes"
"Cyanobacteria","Bacteria","Cyanobacteria",NA,NA,NA,NA,NA,19.1644516624688,0.177682148693286,44.858442931988,0.405805552571086,0.20097585835162,0.115515563403253,0.125688392255084,0.0735674481812461,0.00391988748874412,0.0042413216044986,0.975077756379994,-0.260517931054764,0.0737168907888879,0,89.5973154362416,44.7986577181208,0.0118240221416017,0.0075401272968864,0.975077756379994,0.131052250291356,"Cyanobacteria","","*","**","","Cyanobacteria"
"WPS.2","Bacteria","WPS-2",NA,NA,NA,NA,NA,0.35514715944322,0.686836230162938,0.491985582885387,1.07406883525257,0.043859649122807,0,0,0,0.624499600204657,3.53964384208595e-07,0.490366249502269,-0.663208007333696,2.79751674744007e-07,0,2.74599542334096,1.37299771167048,0.64268014994774,5.66343014733752e-06,0.713259999276027,4.47602679590411e-06,"oligotroph","---","","***","","WPS.2"
"Elusimicrobia","Bacteria","Elusimicrobia",NA,NA,NA,NA,NA,0.0451627001288238,0.0238435860753457,0.05249343832021,0.260774319330065,0.17084759980292,0.282744420418986,0.0521689617956808,0.0441271787641325,0.374534598130915,0.0597062452208698,0.694007240362037,0.114389998004364,0.438828538791096,0,1.1441647597254,0.5720823798627,0.515628848079938,0.073484609502609,0.79429430897711,0.501518330046967,"N D","","",".","","Elusimicrobia"
"TM7","Bacteria","TM7",NA,NA,NA,NA,NA,0.0766903416285225,0.149375202732219,0.045004500450045,0.114769798834073,0.139179726532177,0.10159158437697,0.0711299022583278,0.0500693170696115,0.580464640737153,0.854145211349539,0.475281527485894,0.0236419011356201,0.873274574546223,0,0.631578947368421,0.315789473684211,0.64268014994774,0.911088225439508,0.713259999276027,0.873274574546223,"N D","","","","","TM7"
"Nitrospirae","Bacteria","Nitrospirae",NA,NA,NA,NA,NA,0.056207164677704,0.135991572468715,0,0.23728152544195,0.116717911617532,0.394592371871997,0,0.0175808720112518,0.00097605461267065,0.0142735561468821,0.187190583908106,-0.20615483842114,0.159787704181742,0,0.789177001127396,0.394588500563698,0.00863114529234315,0.0207615362136466,0.499174890421616,0.232418478809807,"N D","","**","*","","Nitrospirae"
"Chloroflexi","Bacteria","Chloroflexi",NA,NA,NA,NA,NA,7.42762736777826,12.8941494770873,5.23741960973233,14.37959793537,4.34943314677608,5.71887035679734,2.93472719682254,3.39331084460516,0.00937476845943488,0.000332680044124274,0.180155172694062,-0.628853669127225,3.00675162163415e-06,1.30522088353414,19.4508009153318,11.0306213412,0.021428042192994,0.000887146784331397,0.499174890421616,2.40540129730732e-05,"Chloroflexi","---","*","***","","Chloroflexi"
"Verrucomicrobia","Bacteria","Verrucomicrobia",NA,NA,NA,NA,NA,0,0.0269251480883145,0,0,0.113611554174629,0.164716863578375,0.141202596496298,0.462609392289484,0.595660692927474,6.23818979829108e-05,0.256935784744096,0.526097108666061,0.000122809661143312,0,1.69491525423729,0.847457627118644,0.64268014994774,0.000249527591931643,0.587281793700791,0.000327492429715498,"copiotroph","+++","","***","","Verrucomicrobia"
"Chlorobi","Bacteria","Chlorobi",NA,NA,NA,NA,NA,0,0,0,0,0.0219298245614035,0.170788701465063,0.181109843366694,0.320670916164868,0.385311170350132,0.00260645985904223,0.695007520354971,0.242234685525911,0.0971519028834603,0,1.69491525423729,0.847457627118644,0.515628848079938,0.00595762253495366,0.79429430897711,0.155443044613536,"N D","","","**","","Chlorobi"
"Actinobacteria","Bacteria","Actinobacteria",NA,NA,NA,NA,NA,16.0029733059964,24.1990278282632,10.9455649220171,25.5839503125844,20.7472056344419,21.4257643038,22.2501488249079,25.0493240134642,0.00415521349885954,0.710605290175778,0.0832645166635505,0.118432479374729,0.42151033678646,2.6366251198466,36.6465863453815,20.9599182925374,0.0118240221416017,0.812120331629461,0.499174890421616,0.501518330046967,"N D","","*","","","Actinobacteria"
