"","Kingdom","Phylum","Class","Order","Family","Genus","Species","AG_crust","AG_subsoil","PG_crust","PG_subsoil","S_crust","S_subsoil","T_crust","T_subsoil","prob_type","prob_zone","prob_month","carbon_rho","prob_carbon","OTU_min","OTU_max","OTU_mid","prob_type_FDR","prob_zone_FDR","prob_month_FDR","prob_carbon_FDR","classification","c_cor","type_sig","zone_sig","month_sig","OTU"
"686","Bacteria","Cyanobacteria","Oscillatoriophycideae","","","","",0.799302711767451,0,1.65708711000441,0.03813882532418,0,0,0,0,0.00385179953327888,0.00688963837572839,0.827551438334052,-0.275168635415657,0.058372053776022,0,7.24409448818898,3.62204724409449,0.017333097899755,0.0439698975159946,0.827551438334052,0.175116161328066,"Cyanobacteria","","*","*","","686"
"1110","Bacteria","Cyanobacteria","Oscillatoriophycideae","","","","",0.0726078396974836,0,0.0941607557958521,0,0.043859649122807,0,0,0,0.00977386726000119,0.294454136100957,0.389104295871395,-0.15028627112041,0.307931054673865,0,0.36003600360036,0.18001800180018,0.0293216017800036,0.378583889272659,0.827551438334052,0.422366775963121,"Cyanobacteria","","*","","","1110"
"1198","Bacteria","Cyanobacteria","Oscillatoriophycideae",NA,NA,NA,NA,0,0,0.131233595800525,0,0,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,-0.100027250285133,0.498760598340364,0,0.78740157480315,0.393700787401575,0.35697432134584,0.391625176271122,0.827551438334052,0.56110567313291,"Cyanobacteria","","","","","1198"
"1499","Bacteria","Cyanobacteria","4C0d-2","MLE1-12","","","",0,0,0,0,0.0335345405767941,0.0272331154684096,0.0578109793126858,0.0210703750526759,0.61318267466252,0.121230415011362,0.726349046480635,0.351719391243008,0.0142286032479529,0,0.233100233100233,0.116550116550117,0.61318267466252,0.218214747020452,0.827551438334052,0.128057429231576,"Cyanobacteria","","","","","1499"
"1626","Bacteria","Cyanobacteria","Oscillatoriophycideae","","","","",0,0,0.109051254089422,0,0,0,0,0,0.317310507862969,0.391625176271122,0.317310507862969,-0.0473813290824313,0.749124409738884,0,0.654307524536532,0.327153762268266,0.35697432134584,0.391625176271122,0.827551438334052,0.749124409738884,"Cyanobacteria","","","","","1626"
"1912","Bacteria","Cyanobacteria","Oscillatoriophycideae","Oscillatoriales","Phormidiaceae","Phormidium","",15.7330872954646,0.0340136054421769,36.3470768482578,0.159522818698849,0.0777626537608389,0,0.0327439423706614,0.0175808720112518,0.000428962881028132,0.0146566325053315,0.359363352425288,-0.189460991100595,0.197140341894803,0,86.1936720997124,43.0968360498562,0.00386066592925319,0.0439698975159946,0.827551438334052,0.363169516722148,"Cyanobacteria","","**","*","","1912"
"1977","Bacteria","Cyanobacteria","Oscillatoriophycideae","","","","",0,0,0.309503880775596,0,0,0,0,0,0.0768887433139472,0.0245486145898738,0.522942209406212,-0.18755801033796,0.201760842623415,0,1.25984251968504,0.62992125984252,0.115333114970921,0.0552343828272161,0.827551438334052,0.363169516722148,"Cyanobacteria","","",".","","1977"
"3313","Bacteria","Cyanobacteria","Oscillatoriophycideae","","","","",0.475543744134404,0,1.50267321171028,0.03813882532418,0,0,0,0,0.0373077067490271,0.014308083346052,0.73697051424033,-0.298119749331877,0.0395856481500931,0,7.08661417322835,3.54330708661417,0.083942340185311,0.0439698975159946,0.827551438334052,0.175116161328066,"Cyanobacteria","",".","*","","3313"
"3453","Bacteria","Cyanobacteria","Oscillatoriophycideae","Oscillatoriales","Phormidiaceae","","",1.82823129251701,0,4.45639655600376,0,0,0,0,0,0.0768887433139472,0.2810022307446,0.58882663215345,-0.144096292080337,0.328507492415761,0,18.6477644492912,9.32388222464558,0.115333114970921,0.378583889272659,0.827551438334052,0.422366775963121,"Cyanobacteria","","","","","3453"
