"","Kingdom","Phylum","Class","Order","Family","Genus","Species","AG_crust","AG_subsoil","PG_crust","PG_subsoil","S_crust","S_subsoil","T_crust","T_subsoil","prob_type","prob_zone","prob_month","carbon_rho","prob_carbon","OTU_min","OTU_max","OTU_mid","prob_type_FDR","prob_zone_FDR","prob_month_FDR","prob_carbon_FDR","classification","c_cor","type_sig","zone_sig","month_sig","OTU"
"651","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae","Candidatus Solibacter","",0.886623680924934,1.85000992998099,1.21362218707328,2.20364379767529,0,0,0,0.126422250316056,0.280576514234757,0.000716384867912753,0.291914258695419,-0.438465164993721,0.00182576099508528,0,5.28506034124012,2.64253017062006,0.487562423924047,0.000960596373674249,0.567540404294938,0.00547728298525584,"oligotroph","--","","***","","651"
"716","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales",NA,NA,NA,1.15803384378723,0.688603161489029,0.428734352028443,0.465951693167581,0,0,0,0,0.325041615949365,3.11471368392823e-06,0.259980552417805,-0.445516471307349,0.00150736672808358,0,2.28813559322034,1.14406779661017,0.487562423924047,2.80324231553541e-05,0.567540404294938,0.00547728298525584,"oligotroph","--","","***","","716"
"761","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae","Candidatus Solibacter","",3.34997460977337,4.00098239822308,4.21656361380051,5.57987557739203,0.875604654457505,2.08611177743416,0.703267866121861,1.59460768255388,0.0335884576264796,0.000330702054642728,0.014914823820914,-0.553817829032023,4.43892492631676e-05,0,12.5984251968504,6.2992125984252,0.151148059319158,0.00059526369835691,0.134233414388226,0.000399503243368508,"oligotroph","---","","***","","761"
"1228","Bacteria","Acidobacteria","Chloracidobacteria","","","","",0.237544831659888,0.386420173105175,0.0781213756523029,0.742200814545701,0.147585198628756,0.240409518876261,0,0,0.129034497831178,0.00884424186492366,0.315300224608299,-0.422182887382625,0.00279907876473774,0,1.83066361556064,0.91533180778032,0.334809843119287,0.00994977209803912,0.567540404294938,0.00629792722065991,"oligotroph","--","","**","","1228"
"1234","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae","Candidatus Solibacter","",1.32267762814775,0.909196271807964,1.03811645642889,0.3621946857579,0.749712187424096,0.879758962276129,1.06703385261003,0.84010718482295,0.148804374719683,0.155788682908894,0.710447975532091,0.266518278998417,0.0670861963634149,0,2.36220472440945,1.18110236220472,0.334809843119287,0.155788682908894,0.846987180760356,0.100629294545122,"N D","","","","","1234"
"1605","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae","Candidatus Solibacter","",0.946349135070058,1.71869674582415,0.798547747137683,0.817983090811023,0.0921564561361931,0.056369785794814,0,0,0.923137778650884,0.000747130512857749,0.846987180760356,-0.324445598030844,0.0244605427692296,0,4.80549199084668,2.40274599542334,0.923137778650884,0.000960596373674249,0.846987180760356,0.0440289769846133,"oligotroph","-","","***","","1605"
"1741","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae","Candidatus Solibacter","",0,0,0,0.47673531655225,0,0.750832426609995,0.4709306935359,1.8305936012492,0.0171305924985228,8.58745891915833e-05,0.801863526968998,0.247437557708117,0.0899637868432377,0,3.39892665474061,1.6994633273703,0.151148059319158,0.000193217825681062,0.846987180760356,0.101209260198642,"N D","","","***","","1741"
"1815","Bacteria","Acidobacteria","Chloracidobacteria","","","","",0.067272115708039,0.146455770357352,0.015001500150015,0,0.729169328299979,1.18284398985987,0,0.120147262209433,0.48364176563004,4.11363451624038e-05,0.290589040732314,0.249399695551524,0.0873630788205972,0,2.91891891891892,1.45945945945946,0.621825127238623,0.000123409035487211,0.567540404294938,0.101209260198642,"N D","","","***","","1815"
"2536","Bacteria","Acidobacteria","Chloracidobacteria","","","","",0.484922159439421,0.758700668316536,0.19992729916394,0.242951933363095,1.74352624738765,1.9131219014492,0.0820719913005698,0.0175808720112518,0.834142075872902,6.62098095158853e-06,0.683447113664342,0.225230485940785,0.123764843837553,0,3.6734693877551,1.83673469387755,0.923137778650884,2.97944142821484e-05,0.846987180760356,0.123764843837553,"N D","","","***","","2536"
