"","Kingdom","Phylum","Class","Order","Family","Genus","Species","AG_crust","AG_subsoil","PG_crust","PG_subsoil","S_crust","S_subsoil","T_crust","T_subsoil","prob_type","prob_zone","prob_month","carbon_rho","prob_carbon","OTU_min","OTU_max","OTU_mid","prob_type_FDR","prob_zone_FDR","prob_month_FDR","prob_carbon_FDR","classification","c_cor","type_sig","zone_sig","month_sig","OTU"
"335","Bacteria","Chloroflexi","Bljii12","B07_WMSP1","FFCH4570","","",0,0.143061516452074,0,1.25624409064445,0.0295170397257512,0.056369785794814,0,0.0116387337057728,0.0490519041139718,0.212638545049644,0.606731663591319,-0.282947441156872,0.0513348999303678,0,2.57985257985258,1.28992628992629,0.147155712341915,0.239218363180849,0.720845480631556,0.0660020141961872,"Chloroflexi","","","","","335"
"547","Bacteria","Chloroflexi","Bljii12","B07_WMSP1","FFCH4570","","",0.216657799949383,0.632344501418157,0,0.875732151337452,0.0614035087719298,0.0137174211248285,0,0.0116387337057728,0.0782728894401684,0.00402000405863808,0.499438233096553,-0.425779291662395,0.00255154664309452,0,2.2883295194508,1.1441647597254,0.176114001240379,0.00723600730554855,0.720845480631556,0.00539738380512651,"Chloroflexi","--","","**","","547"
"863","Bacteria","Chloroflexi","Ktedonobacteria","B12-WMSP1","","","",0.503408695744758,1.00441658101517,0.196908398339689,0.811131820595613,0,0,0,0,0.154015019551338,5.47470268039675e-05,0.376270895098056,-0.516719939914403,0.000169915901664786,0,2.6406429391504,1.3203214695752,0.277227035192409,0.000246361620617854,0.720845480631556,0.000764621557491536,"Chloroflexi","---","","***","","863"
"1839","Bacteria","Chloroflexi","Bljii12","B07_WMSP1","FFCH4570","","",0,0,0,0.999441404839044,0,0,0,0,0.019635478955808,0.000969381157120858,0.640751538339161,-0.419483720987732,0.00299854655840362,0,2.98913043478261,1.4945652173913,0.0883596553011362,0.00218110760352193,0.720845480631556,0.00539738380512651,"Chloroflexi","--",".","**","","1839"
"1855","Bacteria","Chloroflexi","Bljii12","B07_WMSP1",NA,NA,NA,0.364684763260554,0.465036378901765,0,1.41562456679006,0.0119731800766284,0.13614334622738,0,0.0351617440225035,0.00848515508622863,0.126967589844991,0.572111285812559,-0.317834268977168,0.0277071968845138,0,3.66132723112128,1.83066361556064,0.0763663957760577,0.163244044086416,0.720845480631556,0.0415607953267707,"Chloroflexi","-",".","","","1855"
"2077","Bacteria","Chloroflexi","Thermobacula","Thermobaculales","Thermobaculaceae","","",0.193222940958779,0,0.0181752090149037,0.0955605794315472,0.0887832789520972,0.0641308099179886,0.20126751621954,0.347594251966174,0.400586664163517,0.573129545655872,0.153342458729806,0.166463232098494,0.258138385521524,0,1.69491525423729,0.847457627118644,0.600879996245275,0.573129545655872,0.720845480631556,0.290405683711714,"Chloroflexi","","","","","2077"
"2425","Bacteria","Chloroflexi","Chloroflexi","","","","",1.24066355595022,2.5407662825735,0.966574338033538,1.76018609877002,0.0175438596491228,0.054421768707483,0,0,0.498085035851035,1.86988433734884e-07,0.284216013461188,-0.664804034929832,2.55828637437731e-07,0,5.49273021001616,2.74636510500808,0.640395046094188,1.68289590361396e-06,0.720845480631556,2.30245773693958e-06,"Chloroflexi","---","","***","","2425"
"2721","Bacteria","Chloroflexi","Thermomicrobia","","","","",0.36355834173075,0.353019677186471,0.246973749333695,0.455211341121029,0.043859649122807,0.0680716731136899,0,0,0.733025229538874,0.000130195430918943,0.26516194518157,-0.504373016415948,0.000256888509591894,0,1.49812734082397,0.749063670411985,0.767517597207712,0.000390586292756829,0.720845480631556,0.000770665528775683,"Chloroflexi","---","","***","","2721"
"2944","Bacteria","Chloroflexi","Bljii12","B07_WMSP1",NA,NA,NA,0.32265845228125,1.42791398805405,0.456124726596587,0,0.137200819919214,0.416453067713572,0.032488628979857,0.0378039761236264,0.767517597207712,0.0387698164677479,0.750208987913417,-0.0361549135906993,0.80725754827948,0,2.24489795918367,1.12244897959184,0.767517597207712,0.0581547247016219,0.750208987913417,0.80725754827948,"Chloroflexi","","",".","","2944"
